CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
TEL-8001,Female,1,No,No,17,Yes,DSL,Month-to-month,Yes,Credit card (automatic),57.99,985.83,No
TEL-8002,Male,0,Yes,Yes,2,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),34.54,69.08,Yes
TEL-8003,Female,1,Yes,Yes,12,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),45.97,551.64,No
TEL-8004,Female,0,No,No,13,Yes,No,Month-to-month,Yes,Mailed check,100.17,1302.21,Yes
TEL-8005,Male,0,No,No,25,Yes,No,Two year,Yes,Mailed check,30.79,769.75,No
TEL-8006,Male,0,No,No,43,Yes,No,Two year,No,Credit card (automatic),87.84,3777.12,No
TEL-8007,Female,0,Yes,No,57,Yes,Fiber optic,Two year,No,Electronic check,82.59,4707.63,No
TEL-8008,Female,0,Yes,No,29,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),53.49,1551.21,No
TEL-8009,Male,0,No,No,44,Yes,No,Two year,No,Credit card (automatic),32.28,1420.32,No
TEL-8010,Female,1,No,No,26,Yes,No,Two year,Yes,Bank transfer (automatic),103.43,2689.18,No
TEL-8011,Female,0,No,No,22,Yes,DSL,Month-to-month,Yes,Credit card (automatic),56.43,1241.46,No
TEL-8012,Male,0,Yes,No,24,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),100.92,2422.08,No
TEL-8013,Female,1,Yes,No,61,Yes,No,Two year,Yes,Mailed check,36.4,2220.4,No
TEL-8014,Female,0,No,No,5,Yes,DSL,Month-to-month,Yes,Credit card (automatic),60.83,304.15,Yes
TEL-8015,Male,0,No,No,23,Yes,DSL,One year,Yes,Bank transfer (automatic),30.41,699.43,No
TEL-8016,Male,0,No,No,5,Yes,No,Month-to-month,No,Credit card (automatic),68.64,343.2,No
TEL-8017,Male,0,No,No,11,Yes,No,Month-to-month,Yes,Electronic check,47.14,518.54,No
TEL-8018,Female,0,Yes,No,61,Yes,DSL,Two year,No,Bank transfer (automatic),104.14,6352.54,No
TEL-8019,Female,1,Yes,No,34,Yes,DSL,One year,Yes,Credit card (automatic),115.32,3920.88,No
TEL-8020,Male,0,Yes,Yes,4,Yes,No,Month-to-month,No,Credit card (automatic),101.28,405.12,Yes
TEL-8021,Male,0,Yes,Yes,2,Yes,Fiber optic,Month-to-month,No,Electronic check,69.98,139.96,No
TEL-8022,Male,0,Yes,No,30,Yes,Fiber optic,Two year,No,Mailed check,86.04,2581.2,No
TEL-8023,Male,0,No,No,4,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.97,191.88,No
TEL-8024,Female,0,Yes,No,25,Yes,Fiber optic,One year,Yes,Electronic check,59.74,1493.5,No
TEL-8025,Male,1,Yes,Yes,28,Yes,DSL,Two year,No,Mailed check,111.42,3119.76,No
TEL-8026,Female,0,No,No,4,Yes,DSL,Month-to-month,No,Bank transfer (automatic),106.69,426.76,No
TEL-8027,Male,0,Yes,No,22,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),62.17,1367.74,No
TEL-8028,Male,0,No,No,4,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),54.45,217.8,Yes
TEL-8029,Male,0,Yes,Yes,6,Yes,No,Month-to-month,Yes,Credit card (automatic),73.43,440.58,Yes
TEL-8030,Female,0,Yes,No,19,No,Fiber optic,One year,No,Bank transfer (automatic),34.13,648.47,No
TEL-8031,Male,0,Yes,No,39,Yes,No,Two year,Yes,Credit card (automatic),90.86,3543.54,No
TEL-8032,Male,0,Yes,Yes,43,Yes,DSL,One year,Yes,Bank transfer (automatic),97.62,4197.66,No
TEL-8033,Female,0,Yes,Yes,37,Yes,DSL,One year,Yes,Credit card (automatic),71.31,2638.47,No
TEL-8034,Female,0,Yes,Yes,65,Yes,Fiber optic,Two year,Yes,Electronic check,67.1,4361.5,No
TEL-8035,Female,0,No,No,35,Yes,DSL,One year,No,Bank transfer (automatic),105.98,3709.3,No
TEL-8036,Female,1,Yes,No,38,Yes,Fiber optic,Two year,No,Bank transfer (automatic),104.68,3977.84,No
TEL-8037,Male,0,No,No,23,Yes,Fiber optic,Month-to-month,Yes,Mailed check,39.62,911.26,No
TEL-8038,Female,0,No,No,23,Yes,Fiber optic,Month-to-month,No,Electronic check,34.18,786.14,Yes
TEL-8039,Male,1,Yes,Yes,18,Yes,No,Month-to-month,Yes,Mailed check,73.45,1322.1,No
TEL-8040,Male,0,No,No,62,Yes,Fiber optic,Two year,No,Credit card (automatic),75.36,4672.32,No
TEL-8041,Male,0,No,No,30,Yes,DSL,One year,No,Bank transfer (automatic),42.43,1272.9,No
TEL-8042,Male,0,Yes,Yes,34,Yes,DSL,One year,No,Mailed check,118.31,4022.54,No
TEL-8043,Female,1,No,No,71,Yes,No,Two year,Yes,Credit card (automatic),55.72,3956.12,No
TEL-8044,Male,1,Yes,No,7,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),118.51,829.57,Yes
TEL-8045,Female,0,Yes,No,18,Yes,No,One year,No,Mailed check,96.54,1737.72,No
TEL-8046,Female,0,No,No,38,Yes,No,One year,Yes,Electronic check,58.13,2208.94,No
TEL-8047,Male,1,Yes,Yes,69,Yes,No,Two year,Yes,Mailed check,79.19,5464.11,No
TEL-8048,Male,0,Yes,Yes,56,Yes,DSL,Two year,Yes,Bank transfer (automatic),68.56,3839.36,No
TEL-8049,Female,0,No,No,21,Yes,Fiber optic,One year,No,Bank transfer (automatic),83.71,1757.91,Yes
